sample,steer,drive
1,148,148
2,148,148
3,148,148
4,148,148
5,148,148
6,148,148
7,148,148
8,148,148
9,148,148
10,148,148
11,148,148
12,148,148
13,148,148
14,148,148
15,148,148
16,148,148
17,148,148
18,148,148
19,148,148
20,148,148
21,148,148
22,148,148
23,148,148
24,148,148
25,148,148
26,148,148
27,148,148
28,148,148
29,148,148
30,148,148
31,148,148
32,148,148
33,148,148
34,148,148
35,148,148
36,148,148
37,148,148
38,148,148
39,148,148
40,148,148
41,148,148
42,148,148
43,148,148
44,148,148
45,148,148
46,148,148
47,148,148
48,148,148
49,148,148
50,148,148
51,148,148
52,148,148
53,148,148
54,148,148
55,148,148
56,148,148
57,148,148
58,148,148
59,148,148
60,148,148
61,148,148
62,148,148
63,148,148
64,148,148
65,148,148
66,148,148
67,148,148
68,148,148
69,148,148
70,148,148
71,148,148
72,148,148
73,148,148
74,148,148
75,148,148
76,148,148
77,148,148
78,148,148
79,148,148
80,148,148
81,148,148
82,148,148
83,148,148
84,148,148
85,148,148
86,148,148
87,148,148
88,148,148
89,148,148
90,148,148
91,148,148
92,148,148
93,148,148
94,148,148
95,148,148
96,148,148
97,148,148
98,148,148
99,148,148
100,148,148
101,148,148
102,148,148
103,148,148
104,148,148
105,148,148
106,148,148
107,148,148
108,148,148
109,148,148
110,148,148
111,148,148
112,148,148
113,148,148
114,148,148
115,148,148
116,148,148
117,148,148
118,148,148
119,148,148
120,148,148
121,148,148
122,148,148
123,148,148
124,148,148
125,148,148
126,148,148
127,148,148
128,148,148
129,148,148
130,148,148
131,148,148
132,148,148
133,148,148
134,148,148
135,148,148
136,148,148
137,148,148
138,148,148
139,148,148
140,148,148
141,148,148
142,148,148
143,148,148
144,148,148
145,148,148
146,148,148
147,148,148
148,148,148
149,148,148
150,148,148
151,148,148
152,148,148
153,148,148
154,148,148
155,148,148
156,148,148
157,148,148
158,148,148
159,148,148
160,148,148
161,148,148
162,148,148
163,148,148
164,148,148
165,148,148
166,148,148
167,148,148
168,148,148
169,148,148
170,148,148
171,148,148
172,148,148
173,148,148
174,148,148
175,148,154
176,148,158
177,148,161
178,148,157
179,148,154
180,148,152
181,148,150
182,148,149
183,148,148
184,148,148
185,148,154
186,148,158
187,148,161
188,148,163
189,148,158
190,148,155
191,148,152
192,148,147
193,148,147
194,148,147
195,148,147
196,148,144
197,148,142
198,148,140
199,148,139
200,148,138
201,148,141
202,148,143
203,148,144
204,148,145
205,148,145
206,148,145
207,148,145
208,148,145
209,148,145
210,148,145
211,148,145
212,148,145
213,148,145
214,148,145
215,148,145
216,148,145
217,148,145
218,148,145
219,148,145
220,148,145
221,148,145
222,148,145
223,148,145
224,148,145
225,148,145
226,148,145
227,148,145
228,148,145
229,148,145
230,148,145
231,148,145
232,148,145
233,148,142
234,139,140
235,132,139
236,127,138
237,133,141
238,137,143
239,140,144
240,142,145
